Season,Season_encoded,Team,Matches_Played,Home_Matches,Away_Matches,Wins,Draws,Losses,Home_Wins,Away_Wins,Points,Points_Per_Game,Goals_Scored,Goals_Conceded,Goal_Difference,Avg_Goals_Scored,Avg_Goals_Conceded,Total_Shots,Total_Shots_On_Target,Avg_Shots,Avg_Shots_On_Target,Shot_Accuracy,Clean_Sheets,Clean_Sheet_Rate,Yellow_Cards,Red_Cards,Fouls,Corners,Avg_Corners,Win_Rate,Home_Win_Rate,Away_Win_Rate,Final_Position,Team_encoded
2001-02,1,Charlton,38,19,19,10,14,14,5,5,44,1.1578947368421053,38,49,-11,1.0,1.2894736842105263,371.0,178.0,9.763157894736842,4.684210526315789,47.97843665768194,12,0.3157894736842105,62.0,3.0,481.0,242.0,6.368421052631579,0.2631578947368421,0.2631578947368421,0.2631578947368421,14,12
2001-02,1,Everton,38,19,19,11,10,17,8,3,43,1.131578947368421,45,57,-12,1.1842105263157894,1.5,384.0,195.0,10.105263157894736,5.131578947368421,50.78125,11,0.2894736842105263,55.0,3.0,540.0,183.0,4.815789473684211,0.2894736842105263,0.42105263157894735,0.15789473684210525,15,17
2001-02,1,Bolton,38,19,19,9,13,16,5,4,40,1.0526315789473684,44,62,-18,1.1578947368421053,1.631578947368421,366.0,160.0,9.631578947368421,4.2105263157894735,43.71584699453552,7,0.18421052631578946,57.0,7.0,511.0,194.0,5.105263157894737,0.23684210526315788,0.2631578947368421,0.21052631578947367,16,5
2001-02,1,Sunderland,38,19,19,10,10,18,7,3,40,1.0526315789473684,29,51,-22,0.7631578947368421,1.3421052631578947,434.0,202.0,11.421052631578947,5.315789473684211,46.54377880184332,11,0.2894736842105263,68.0,1.0,550.0,196.0,5.157894736842105,0.2631578947368421,0.3684210526315789,0.15789473684210525,17,38
2001-02,1,Ipswich,38,19,19,9,9,20,6,3,36,0.9473684210526315,41,64,-23,1.0789473684210527,1.6842105263157894,402.0,189.0,10.578947368421053,4.973684210526316,47.01492537313433,8,0.21052631578947367,41.0,1.0,446.0,224.0,5.894736842105263,0.23684210526315788,0.3157894736842105,0.15789473684210525,18,21
2001-02,1,Derby,38,19,19,8,6,24,5,3,30,0.7894736842105263,33,63,-30,0.868421052631579,1.6578947368421053,294.0,139.0,7.7368421052631575,3.6578947368421053,47.27891156462585,7,0.18421052631578946,73.0,3.0,524.0,162.0,4.2631578947368425,0.21052631578947367,0.2631578947368421,0.15789473684210525,19,16
2001-02,1,Leicester,38,19,19,5,13,20,3,2,28,0.7368421052631579,30,64,-34,0.7894736842105263,1.6842105263157894,304.0,158.0,8.0,4.157894736842105,51.973684210526315,7,0.18421052631578946,76.0,5.0,535.0,197.0,5.184210526315789,0.13157894736842105,0.15789473684210525,0.10526315789473684,20,23
2002-03,2,Man United,38,19,19,25,8,5,16,9,83,2.1842105263157894,74,34,40,1.9473684210526316,0.8947368421052632,531.0,308.0,13.973684210526315,8.105263157894736,58.00376647834275,13,0.34210526315789475,45.0,1.0,432.0,268.0,7.052631578947368,0.6578947368421053,0.8421052631578947,0.47368421052631576,1,27
2002-03,2,Arsenal,38,19,19,23,9,6,15,8,78,2.0526315789473686,85,42,43,2.236842105263158,1.105263157894737,498.0,296.0,13.105263157894736,7.7894736842105265,59.43775100401606,10,0.2631578947368421,55.0,3.0,483.0,266.0,7.0,0.6052631578947368,0.7894736842105263,0.42105263157894735,2,0
2002-03,2,Newcastle,38,19,19,21,6,11,15,6,69,1.8157894736842106,63,48,15,1.6578947368421053,1.263157894736842,489.0,284.0,12.868421052631579,7.473684210526316,58.077709611451944,14,0.3684210526315789,48.0,3.0,443.0,260.0,6.842105263157895,0.5526315789473685,0.7894736842105263,0.3157894736842105,3,29
