first_name,second_name,season,now_cost,selected_by_percent,total_points,minutes,goals_scored,assists,creativity,threat,clean_sheets,goals_conceded,yellow_cards,red_cards,influence,ict_index,bonus,bps,goals_per_90,assists_per_90,goal_involvement,goal_involvement_per_90,clean_sheet_rate,total_cards,cards_per_90,points_per_cost,rank_in_season,season_encoded,player_name
Heung-Min,Son,2020-21,96.0,44.2,228,3119,17,11,1049.9,1046.0,13,36,0,0,1052.2,315.2,26,777,0.491,0.317,28,0.808,0.375,0,0.0,2.375,4,4,Heung-Min Son
Patrick,Bamford,2020-21,66.0,45.2,194,3052,17,11,371.0,1512.0,10,50,3,0,867.2,274.6,26,631,0.501,0.324,28,0.826,0.295,3,0.088,2.939,5,4,Patrick Bamford
Jamie,Vardy,2020-21,102.0,17.5,187,2838,15,14,356.6,1306.0,8,44,1,0,819.2,248.3,23,649,0.476,0.444,29,0.92,0.254,1,0.032,1.833,6,4,Jamie Vardy
Emiliano,Martínez,2020-21,53.0,37.9,186,3420,0,0,20.0,0.0,15,46,1,0,1067.2,108.5,27,825,0.0,0.0,0,0.0,0.395,1,0.026,3.509,7,4,Emiliano Martínez
Sadio,Mané,2020-21,118.0,8.2,176,2808,11,11,809.7,1535.0,12,28,3,0,808.8,315.5,14,513,0.353,0.353,22,0.705,0.385,3,0.096,1.492,8,4,Sadio Mané
Marcus,Rashford,2020-21,96.0,10.2,174,2917,11,11,682.1,1127.0,12,39,4,0,793.2,260.3,9,535,0.339,0.339,22,0.679,0.37,4,0.123,1.812,9,4,Marcus Rashford
Stuart,Dallas,2020-21,55.0,33.1,171,3410,8,3,454.6,527.0,12,53,7,0,756.8,174.2,15,726,0.211,0.079,11,0.29,0.317,7,0.185,3.109,10,4,Stuart Dallas
Ollie,Watkins,2020-21,63.0,22.1,168,3328,14,9,610.4,1721.0,14,46,2,1,815.4,314.0,18,531,0.379,0.243,23,0.622,0.379,4,0.108,2.667,11,4,Ollie Watkins
Dominic,Calvert-Lewin,2020-21,75.0,29.5,165,2871,16,6,308.0,1439.0,11,39,3,0,745.8,249.0,21,528,0.502,0.188,22,0.69,0.345,3,0.094,2.2,12,4,Dominic Calvert-Lewin
Andrew,Robertson,2020-21,73.0,16.5,161,3384,1,8,1129.3,359.0,12,42,2,0,754.4,224.5,19,834,0.027,0.213,9,0.239,0.319,2,0.053,2.205,13,4,Andrew Robertson
Jack,Harrison,2020-21,56.0,7.6,160,2846,8,10,821.7,666.0,11,45,2,0,759.2,225.2,15,542,0.253,0.316,18,0.569,0.348,2,0.063,2.857,14,4,Jack Harrison
Trent,Alexander-Arnold,2020-21,78.0,27.1,160,3029,2,8,1238.8,529.0,10,40,2,0,789.6,255.7,26,761,0.059,0.238,10,0.297,0.297,2,0.059,2.051,14,4,Trent Alexander-Arnold
Ederson,Santana de Moraes,2020-21,61.0,9.4,160,3240,0,1,10.0,0.0,19,28,3,0,586.0,59.6,3,696,0.0,0.028,1,0.028,0.528,3,0.083,2.623,14,4,Ederson Santana de Moraes
Ilkay,Gündogan,2020-21,55.0,17.1,157,2025,13,4,688.4,712.0,12,16,1,0,754.6,215.7,22,620,0.578,0.178,17,0.756,0.533,1,0.044,2.855,17,4,Ilkay Gündogan
James,Ward-Prowse,2020-21,59.0,11.7,156,3420,8,7,971.2,355.0,9,68,5,0,940.0,226.5,17,772,0.211,0.184,15,0.395,0.237,5,0.132,2.644,18,4,James Ward-Prowse
Illan,Meslier,2020-21,48.0,8.5,154,3150,0,0,10.0,0.0,11,52,0,0,1026.0,103.7,20,774,0.0,0.0,0,0.0,0.314,0,0.0,3.208,19,4,Illan Meslier
Raheem,Sterling,2020-21,109.0,4.3,154,2534,10,9,584.1,1366.0,14,23,4,0,663.4,260.3,10,458,0.355,0.32,19,0.675,0.497,4,0.142,1.413,19,4,Raheem Sterling
Matheus,Pereira,2020-21,54.0,5.0,153,2574,11,7,873.6,661.0,6,58,2,1,744.0,227.9,15,565,0.385,0.245,18,0.629,0.21,4,0.14,2.833,21,4,Matheus Pereira
Aaron,Cresswell,2020-21,57.0,18.2,153,3170,0,11,898.6,96.0,11,41,3,0,669.4,166.8,21,730,0.0,0.312,11,0.312,0.312,3,0.085,2.684,21,4,Aaron Cresswell
Hugo,Lloris,2020-21,56.0,6.6,149,3420,0,0,0.0,0.0,12,45,0,0,868.0,86.7,13,702,0.0,0.0,0,0.0,0.316,0,0.0,2.661,23,4,Hugo Lloris
Mason,Mount,2020-21,73.0,17.3,147,2887,6,7,1336.9,954.0,14,32,2,0,770.4,306.3,16,599,0.187,0.218,13,0.405,0.436,2,0.062,2.014,24,4,Mason Mount
Tomas,Soucek,2020-21,52.0,11.2,147,3420,10,2,271.1,925.0,11,47,7,1,889.8,208.8,16,555,0.263,0.053,12,0.316,0.289,9,0.237,2.827,24,4,Tomas Soucek
Riyad,Mahrez,2020-21,81.0,6.4,145,1945,9,8,693.6,893.0,11,22,0,0,606.0,219.1,15,505,0.416,0.37,17,0.787,0.509,0,0.0,1.79,26,4,Riyad Mahrez
Nick,Pope,2020-21,55.0,9.6,144,2880,0,0,20.0,2.0,11,37,1,0,846.6,86.8,20,652,0.0,0.0,0,0.0,0.344,1,0.031,2.618,27,4,Nick Pope
Aaron,Wan-Bissaka,2020-21,58.0,18.8,144,3060,2,5,498.2,159.0,13,36,3,0,785.4,144.1,11,729,0.059,0.147,7,0.206,0.382,3,0.088,2.483,27,4,Aaron Wan-Bissaka
Rúben Santos,Gato Alves Dias,2020-21,59.0,19.9,142,2843,1,1,91.0,218.0,17,21,4,0,651.6,96.3,12,656,0.032,0.032,2,0.063,0.538,4,0.127,2.407,29,4,Rúben Santos Gato Alves Dias
Roberto,Firmino,2020-21,91.0,5.7,141,2837,9,8,643.2,1415.0,10,39,2,0,729.4,278.8,15,615,0.286,0.254,17,0.539,0.317,2,0.063,1.549,30,4,Roberto Firmino
Kevin,De Bruyne,2020-21,118.0,11.9,141,1995,6,12,1170.1,914.0,12,17,1,0,760.8,284.7,19,566,0.271,0.541,18,0.812,0.541,1,0.045,1.195,30,4,Kevin De Bruyne
Jarrod,Bowen,2020-21,58.0,2.5,141,2556,8,6,493.5,812.0,9,33,0,0,529.8,183.7,8,434,0.282,0.211,14,0.493,0.317,0,0.0,2.431,30,4,Jarrod Bowen
Edouard,Mendy,2020-21,53.0,10.9,140,2745,0,0,0.0,0.0,16,25,2,0,470.2,47.2,8,613,0.0,0.0,0,0.0,0.525,2,0.066,2.642,33,4,Edouard Mendy
Alisson,Ramses Becker,2020-21,60.0,8.3,140,2970,1,0,0.1,17.0,10,32,1,0,776.4,79.4,13,660,0.03,0.0,1,0.03,0.303,1,0.03,2.333,33,4,Alisson Ramses Becker
Sam,Johnstone,2020-21,46.0,3.0,140,3330,0,1,10.0,0.0,6,74,1,0,1213.6,122.4,19,768,0.0,0.027,1,0.027,0.162,1,0.027,3.043,33,4,Sam Johnstone
Benjamin,Chilwell,2020-21,59.0,14.6,139,2286,3,6,535.8,408.0,12,23,3,0,545.0,148.5,11,549,0.118,0.236,9,0.354,0.472,3,0.118,2.356,36,4,Benjamin Chilwell
Matt,Targett,2020-21,50.0,12.0,138,3404,0,4,607.0,122.0,16,44,7,0,690.4,142.2,9,710,0.0,0.106,4,0.106,0.423,7,0.185,2.76,37,4,Matt Targett
Chris,Wood,2020-21,66.0,5.6,138,2741,12,3,323.2,1129.0,9,43,0,0,595.8,204.0,16,395,0.394,0.099,15,0.493,0.296,0,0.0,2.091,37,4,Chris Wood
João Pedro Cavaco,Cancelo,2020-21,58.0,10.6,138,2298,2,4,673.0,394.0,14,21,5,1,569.8,163.7,18,610,0.078,0.157,6,0.235,0.548,7,0.274,2.379,37,4,João Pedro Cavaco Cancelo
Che,Adams,2020-21,57.0,4.1,137,2662,9,7,488.6,964.0,7,51,1,0,581.8,203.4,16,443,0.304,0.237,16,0.541,0.237,1,0.034,2.404,40,4,Che Adams
Wilfried,Zaha,2020-21,71.0,9.9,136,2612,11,4,428.5,1003.0,6,52,6,0,572.6,200.4,11,362,0.379,0.138,15,0.517,0.207,6,0.207,1.915,41,4,Wilfried Zaha
Jack,Grealish,2020-21,75.0,14.6,135,2183,6,12,1029.6,917.0,12,28,6,0,707.4,265.3,13,531,0.247,0.495,18,0.742,0.495,6,0.247,1.8,42,4,Jack Grealish
Bertrand,Traoré,2020-21,58.0,0.7,135,2315,7,7,530.6,917.0,11,31,1,0,528.4,197.6,7,407,0.272,0.272,14,0.544,0.428,1,0.039,2.328,42,4,Bertrand Traoré
Phil,Foden,2020-21,61.0,9.8,135,1607,9,8,545.8,734.0,6,16,0,0,580.8,186.0,17,479,0.504,0.448,17,0.952,0.336,0,0.0,2.213,42,4,Phil Foden
Callum,Wilson,2020-21,65.0,5.1,134,2081,12,6,230.4,761.0,5,37,2,0,557.4,154.7,22,409,0.519,0.259,18,0.778,0.216,2,0.086,2.062,45,4,Callum Wilson
Youri,Tielemans,2020-21,64.0,3.8,133,3356,6,4,788.2,462.0,11,50,6,0,840.4,209.1,11,633,0.161,0.107,10,0.268,0.295,6,0.161,2.078,46,4,Youri Tielemans
James,Maddison,2020-21,72.0,5.5,133,2093,8,7,770.3,668.0,10,28,4,0,588.4,202.5,12,473,0.344,0.301,15,0.645,0.43,4,0.172,1.847,46,4,James Maddison
Raphael,Dias Belloli,2020-21,56.0,9.4,133,2358,6,10,889.3,902.0,9,34,3,0,719.6,251.3,11,489,0.229,0.382,16,0.611,0.344,3,0.115,2.375,46,4,Raphael Dias Belloli
Lukasz,Fabianski,2020-21,50.0,3.2,133,3150,0,0,0.0,0.0,10,44,2,0,745.2,74.4,11,634,0.0,0.0,0,0.0,0.286,2,0.057,2.66,46,4,Lukasz Fabianski
Leandro,Trossard,2020-21,55.0,1.8,132,2602,5,6,725.1,759.0,12,30,2,0,543.4,202.8,15,406,0.173,0.208,11,0.38,0.415,2,0.069,2.4,50,4,Leandro Trossard
Mohamed,Salah,2021-22,131.0,41.0,265,2758,23,14,874.1,2091.0,17,22,1,0,1203.8,417.0,29,756,0.751,0.457,37,1.207,0.555,1,0.033,2.023,1,5,Mohamed Salah
Heung-Min,Son,2021-22,112.0,35.6,258,3009,23,10,1037.8,1211.0,18,30,2,0,1128.6,338.2,27,819,0.688,0.299,33,0.987,0.538,2,0.06,2.304,2,5,Heung-Min Son
Trent,Alexander-Arnold,2021-22,84.0,37.9,208,2853,2,12,1362.8,478.0,18,22,2,0,837.2,268.1,32,864,0.063,0.379,14,0.442,0.568,2,0.063,2.476,3,5,Trent Alexander-Arnold
Jarrod,Bowen,2021-22,69.0,15.0,206,2987,12,17,624.6,1201.0,8,46,6,0,819.4,264.7,24,586,0.362,0.512,29,0.874,0.241,6,0.181,2.986,4,5,Jarrod Bowen
